+------------------------------------------------------+------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------+-------------------------------------------+
| ID                                                   | Name                                                 | Description                                                                                                          | Parent                                    |
+------------------------------------------------------+------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------+-------------------------------------------+
| begin:root                                           | [In the begginning...]                               | Guide to getting started with Garden of Grass                                                                        | -                                         |
| triumph:example/example_all_rewards                  | [All Rewards]                                        | Acquire flint                                                                                                        | triumph:example/root                      |
| triumph:example/example_better_advancement_colors    | [Pretty Colors!]                                     | Craft a wooden button                                                                                                | triumph:example/root                      |
| triumph:example/example_break_block                  | [Caveman hate tree!]                                 | Break a log                                                                                                          | triumph:example/root                      |
| triumph:example/example_bred_animals                 | [How is babby formed?]                               | Breed a sheep, with a sheep, to produce... a sheep.                                                                  | triumph:example/root                      |
| triumph:example/example_brewed_potion                | [Liquid health!]                                     | Brew a healing potion                                                                                                | triumph:example/root                      |
| triumph:example/example_completed_advancement        | [Caveman smash red rock!]                            | Break a netherrack block                                                                                             | triumph:example/example_enter_dimension   |
| triumph:example/example_construct_beacon             | [Better Beacons]                                     | Construct a 2 to 4 layer beacon                                                                                      | triumph:example/root                      |
| triumph:example/example_consume_item                 | [Mmmmmmmmmm, melon]                                  | Eat delicious melon                                                                                                  | triumph:example/root                      |
| triumph:example/example_count                        | [Right clicking a block multiple times]              | Right click an iron ore block 5 times                                                                                | triumph:example/root                      |
| triumph:example/example_destroy_block                | [Destroying a block]                                 | Destroy a netherrack block                                                                                           | triumph:example/root                      |
| triumph:example/example_enchanted_item               | [Enchanting]                                         | Enchant a golden sword                                                                                               | triumph:example/root                      |
| triumph:example/example_enter_biome                  | [To the forest!]                                     | Enter a forest biome                                                                                                 | triumph:example/root                      |
| triumph:example/example_enter_block                  | [I'm a tree!]                                        | Enter a sapling block                                                                                                | triumph:example/root                      |
| triumph:example/example_enter_dimension              | [Caveman no like red rocks.]                         | Enter the nether                                                                                                     | triumph:example/root                      |
| triumph:example/example_harvest_block                | [Harvesting a block]                                 | Harvest a netherrack block                                                                                           | triumph:example/root                      |
| triumph:example/example_hurt_entity                  | [Evil wolf!]                                         | Damage a wolf.                                                                                                       | triumph:example/root                      |
| triumph:example/example_impossible                   | [Impossible!]                                        | This cannot be completed                                                                                             | triumph:example/root                      |
| triumph:example/example_inventory_changed            | [The Stick of Truth]                                 | Acquire the The Stick of Truth                                                                                       | triumph:example/root                      |
| triumph:example/example_item_crafted                 | [Chests!]                                            | Craft a chest                                                                                                        | triumph:example/root                      |
| triumph:example/example_killed_by_entity             | [What is hiss?]                                      | Get killed by a creeper.                                                                                             | triumph:example/root                      |
| triumph:example/example_killed_entity                | [Caveman hate spider!]                               | Crush a spider.                                                                                                      | triumph:example/root                      |
| triumph:example/example_left_click_block             | [Left clicking a block]                              | Left click a grass block                                                                                             | triumph:example/root                      |
| triumph:example/example_location_dimid               | [Be in the nether]                                   | Be in dimension -1                                                                                                   | triumph:example/root                      |
| triumph:example/example_location_worldtype           | [Superflat]                                          | Enter a superflat world.                                                                                             | triumph:example/root                      |
| triumph:example/example_placed_block                 | [That's dirty!]                                      | Place a dirt, coarse dirt or podzol block                                                                            | triumph:example/root                      |
| triumph:example/example_recipe_unlocked              | [Recipe Unlocked!]                                   | Unlock the recipe for diamonds                                                                                       | triumph:example/root                      |
| triumph:example/example_repeatable                   | [Repeatable]                                         | Right click an emerald ore block. Advancement completion resets every 10 seconds, allowing it to be completed again. | triumph:example/root                      |
| triumph:example/example_right_click_block            | [Right clicking a block]                             | Right click a diamond ore block                                                                                      | triumph:example/root                      |
| triumph:example/example_right_click_item             | [Right clicking with an item]                        | Right click with a diamond                                                                                           | triumph:example/root                      |
| triumph:example/example_slept_in_bed                 | [Nap time in the forest!]                            | Sleep in a bed in a forest biome                                                                                     | triumph:example/example_enter_biome       |
| triumph:example/example_tame_animal                  | [Caveman like horse]                                 | Tame a horse                                                                                                         | triumph:example/root                      |
| triumph:example/example_villager_trade               | [Weird Man give Shinies]                             | Trade for an emerald with a villager                                                                                 | triumph:example/root                      |
| triumph:example/root                                 | [In the begginning...]                               | Guide to getting started with Garden of Grass                                                                        | -                                         |
| triumph:vanilla/adventure/adventuring_time           | [Adventuring Time]                                   | Discover every biome                                                                                                 | triumph:vanilla/adventure/sleep_in_bed    |
| triumph:vanilla/adventure/kill_a_mob                 | [Monster Hunter]                                     | Kill any hostile monster                                                                                             | triumph:vanilla/adventure/root            |
| triumph:vanilla/adventure/kill_all_mobs              | [Monsters Hunted]                                    | Kill one of every hostile monster                                                                                    | triumph:vanilla/adventure/kill_a_mob      |
| triumph:vanilla/adventure/root                       | [Adventure]                                          | Adventure, exploration and combat                                                                                    | -                                         |
| triumph:vanilla/adventure/shoot_arrow                | [Take Aim]                                           | Shoot something with a bow and arrow                                                                                 | triumph:vanilla/adventure/kill_a_mob      |
| triumph:vanilla/adventure/sleep_in_bed               | [Sweet dreams]                                       | Change your respawn point                                                                                            | triumph:vanilla/adventure/root            |
| triumph:vanilla/adventure/sniper_duel                | [Sniper duel]                                        | Kill a skeleton with an arrow from more than 50 meters                                                               | triumph:vanilla/adventure/shoot_arrow     |
| triumph:vanilla/adventure/summon_iron_golem          | [Hired Help]                                         | Summon an Iron Golem to help defend a village                                                                        | triumph:vanilla/adventure/trade           |
| triumph:vanilla/adventure/totem_of_undying           | [Postmortal]                                         | Use a Totem of Undying to cheat death                                                                                | triumph:vanilla/adventure/kill_a_mob      |
| triumph:vanilla/adventure/trade                      | [What a Deal!]                                       | Successfully trade with a Villager                                                                                   | triumph:vanilla/adventure/root            |
| triumph:vanilla/end/dragon_breath                    | [You Need a Mint]                                    | Collect dragon's breath in a glass bottle                                                                            | triumph:vanilla/end/kill_dragon           |
| triumph:vanilla/end/dragon_egg                       | [The Next Generation]                                | Hold the Dragon Egg                                                                                                  | triumph:vanilla/end/kill_dragon           |
| triumph:vanilla/end/elytra                           | [Sky's the Limit]                                    | Find an Elytra                                                                                                       | triumph:vanilla/end/find_end_city         |
| triumph:vanilla/end/enter_end_gateway                | [Remote Getaway]                                     | Escape the island                                                                                                    | triumph:vanilla/end/kill_dragon           |
| triumph:vanilla/end/find_end_city                    | [The City at the End of the Game]                    | Go on in, what could happen?                                                                                         | triumph:vanilla/end/enter_end_gateway     |
| triumph:vanilla/end/kill_dragon                      | [Free the End]                                       | Good luck                                                                                                            | triumph:vanilla/end/root                  |
| triumph:vanilla/end/levitate                         | [Great View From Up Here]                            | Levitate up 50 blocks from the attacks of a Shulker                                                                  | triumph:vanilla/end/find_end_city         |
| triumph:vanilla/end/respawn_dragon                   | [The End... Again...]                                | Respawn the ender dragon                                                                                             | triumph:vanilla/end/kill_dragon           |
| triumph:vanilla/end/root                             | [The End]                                            | Or the beginning?                                                                                                    | -                                         |
| triumph:vanilla/husbandry/balanced_diet              | [A Balanced Diet]                                    | Eat everything that is edible, even if it's not good for you                                                         | triumph:vanilla/husbandry/plant_seed      |
| triumph:vanilla/husbandry/break_diamond_hoe          | [Serious Dedication]                                 | Completely use up a diamond hoe, and then reevaluate your life choices                                               | triumph:vanilla/husbandry/plant_seed      |
| triumph:vanilla/husbandry/bred_all_animals           | [Two by Two]                                         | Breed all the animals!                                                                                               | triumph:vanilla/husbandry/breed_an_animal |
| triumph:vanilla/husbandry/breed_an_animal            | [The Parrots and the Bats]                           | Breed two animals together                                                                                           | triumph:vanilla/husbandry/root            |
| triumph:vanilla/husbandry/plant_seed                 | [A Seedy Place]                                      | Plant a seed and watch it grow                                                                                       | triumph:vanilla/husbandry/root            |
| triumph:vanilla/husbandry/root                       | [Husbandry]                                          | The world is full of friends and food                                                                                | -                                         |
| triumph:vanilla/husbandry/tame_an_animal             | [Best Friends Forever]                               | Tame an animal                                                                                                       | triumph:vanilla/husbandry/root            |
| triumph:vanilla/nether/all_effects                   | [How Did We Get Here?]                               | Have every effect applied at the same time                                                                           | triumph:vanilla/nether/all_potions        |
| triumph:vanilla/nether/all_potions                   | [A Furious Cocktail]                                 | Have every potion effect applied at the same time                                                                    | triumph:vanilla/nether/brew_potion        |
