+-------------------------------------------------+--------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------+
| ID                                              | Name                                       | Description                                                                                                                                                                                                                                                                                                                                                                                                      | Parent                                        |
+-------------------------------------------------+--------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------+
| astralsorcery:attune_crystal                    | [Picking up good vibrations]               | Attune a crystal to a Constellation.                                                                                                                                                                                                                                                                                                                                                                             | astralsorcery:attune_self                     |
| astralsorcery:attune_self                       | [I can see the light]                      | Attune yourself to a Bright constellation.                                                                                                                                                                                                                                                                                                                                                                       | astralsorcery:find_constellation              |
| astralsorcery:attune_trait                      | [We have to go deeper]                     | Further modify the attunement of a crystal by adding a Faint trait.                                                                                                                                                                                                                                                                                                                                              | astralsorcery:attune_crystal                  |
| astralsorcery:celestial_crystals                | [Homegrown is best]                        | Harvest a Celestial Crystal from a Crystal Cluster.                                                                                                                                                                                                                                                                                                                                                              | astralsorcery:rock_crystals                   |
| astralsorcery:craft_t2_altar                    | [Upgrade complete]                         | Upgrade a Luminous Crafting Table into a Starlight Crafting Altar.                                                                                                                                                                                                                                                                                                                                               | astralsorcery:rock_crystals                   |
| astralsorcery:craft_t3_altar                    | [Shooting across the sky]                  | Craft a Celestial Altar.                                                                                                                                                                                                                                                                                                                                                                                         | astralsorcery:craft_t2_altar                  |
| astralsorcery:craft_t4_altar                    | [Can you take me higher]                   | Craft an Iridescent Altar.                                                                                                                                                                                                                                                                                                                                                                                       | astralsorcery:craft_t3_altar                  |
| astralsorcery:find_constellation                | [I can see clearly now]                    | Discover a Bright Constellation using the Looking Glass.                                                                                                                                                                                                                                                                                                                                                         | astralsorcery:root                            |
| astralsorcery:find_minor_constellation          | [Is there anybody out there]               | Discover a Faint Constellation using an Observatory.                                                                                                                                                                                                                                                                                                                                                             | astralsorcery:find_weak_constellation         |
| astralsorcery:find_weak_constellation           | [Gotta squint sometimes]                   | Discover a Dim Constellation using the Telescope.                                                                                                                                                                                                                                                                                                                                                                | astralsorcery:find_constellation              |
| astralsorcery:perk_level_large                  | [It all looks so different on this side]   | Develop your personal starlight to maximum level.                                                                                                                                                                                                                                                                                                                                                                | astralsorcery:perk_level_medium               |
| astralsorcery:perk_level_medium                 | [No sign of the morning coming]            | Develop your personal starlight to level 20.                                                                                                                                                                                                                                                                                                                                                                     | astralsorcery:perk_level_small                |
| astralsorcery:perk_level_small                  | [It's a start]                             | Develop your personal starlight to level 10.                                                                                                                                                                                                                                                                                                                                                                     | astralsorcery:attune_self                     |
| astralsorcery:rock_crystals                     | [It's worth how much?]                     | Gather a Rock Crystal.                                                                                                                                                                                                                                                                                                                                                                                           | astralsorcery:root                            |
| astralsorcery:root                              | [Astral Sorcery]                           | Ride the light                                                                                                                                                                                                                                                                                                                                                                                                   | -                                             |
