+----------------------------------+-------------------------------------------+------------------------------+-----+
| Mod name                         | Registry name                             | Entity class name            |  ID |
+----------------------------------+-------------------------------------------+------------------------------+-----+
| Astral Sorcery                   | astralsorcery:entitycrystal               | EntityCrystal                |   2 |
| Astral Sorcery                   | astralsorcery:entitycrystaltool           | EntityCrystalTool            |   7 |
| Astral Sorcery                   | astralsorcery:entityflare                 | EntityFlare                  |   3 |
| Astral Sorcery                   | astralsorcery:entitygrapplinghook         | EntityGrapplingHook          |   8 |
| Astral Sorcery                   | astralsorcery:entityhighlighted           | EntityItemHighlighted        |   0 |
| Astral Sorcery                   | astralsorcery:entityilluminationspark     | EntityIlluminationSpark      |   5 |
| Astral Sorcery                   | astralsorcery:entityitemdamageresistant   | EntityItemExplosionResistant |  13 |
| Astral Sorcery                   | astralsorcery:entityliquidspark           | EntityLiquidSpark            |  10 |
| Astral Sorcery                   | astralsorcery:entitynocturnalspark        | EntityNocturnalSpark         |   6 |
| Astral Sorcery                   | astralsorcery:entityobservatoryhelper     | EntityObservatoryHelper      |  11 |
| Astral Sorcery                   | astralsorcery:entityshootingstar          | EntityShootingStar           |  12 |
| Astral Sorcery                   | astralsorcery:entityspectraltool          | EntitySpectralTool           |   9 |
| Astral Sorcery                   | astralsorcery:entitystarburst             | EntityStarburst              |   4 |
| Astral Sorcery                   | astralsorcery:entitystardust              | EntityItemStardust           |   1 |
| Avaritia                         | avaritia:endest_pearl                     | EntityEndestPearl            |   1 |
| Avaritia                         | avaritia:gaping_void                      | EntityGapingVoid             |   2 |
| Avaritia                         | avaritia:heaven_arrow                     | EntityHeavenArrow            |   3 |
| Avaritia                         | avaritia:heaven_sub_arrow                 | EntityHeavenSubArrow         |   4 |
| BiblioCraft                      | bibliocraft:biblioseat                    | EntitySeat                   |   0 |
| Blood Arsenal                    | bloodarsenal:summoned_tool                | EntitySummonedTool           |   1 |
| Blood Arsenal                    | bloodarsenal:warp_blade                   | EntityWarpBlade              |   2 |
| Blood Magic: Alchemical Wizardry | bloodmagic:blood_light                    | EntityBloodLight             |   1 |
| Blood Magic: Alchemical Wizardry | bloodmagic:corrupted_chicken              | EntityCorruptedChicken       |   9 |
| Blood Magic: Alchemical Wizardry | bloodmagic:corrupted_sheep                | EntityCorruptedSheep         |   8 |
| Blood Magic: Alchemical Wizardry | bloodmagic:corrupted_spider               | EntityCorruptedSpider        |  10 |
| Blood Magic: Alchemical Wizardry | bloodmagic:corrupted_zombie               | EntityCorruptedZombie        |   7 |
| Blood Magic: Alchemical Wizardry | bloodmagic:meteor                         | EntityMeteor                 |   4 |
| Blood Magic: Alchemical Wizardry | bloodmagic:mimic                          | EntityMimic                  |   6 |
| Blood Magic: Alchemical Wizardry | bloodmagic:sentient_specter               | EntitySentientSpecter        |   5 |
| Blood Magic: Alchemical Wizardry | bloodmagic:soul_arrow                     | EntitySentientArrow          |   3 |
| Blood Magic: Alchemical Wizardry | bloodmagic:soul_snare                     | EntitySoulSnare              |   2 |
| Botania                          | botania:babylon_weapon                    | EntityBabylonWeapon          |  17 |
| Botania                          | botania:corporea_spark                    | EntityCorporeaSpark          |  11 |
| Botania                          | botania:doppleganger                      | EntityDoppleganger           |   5 |
| Botania                          | botania:ender_air_bottle                  | EntityEnderAirBottle         |  12 |
| Botania                          | botania:falling_star                      | EntityFallingStar            |  18 |
| Botania                          | botania:flame_ring                        | EntityFlameRing              |   3 |
| Botania                          | botania:magic_landmine                    | EntityMagicLandmine          |   6 |
| Botania                          | botania:magic_missile                     | EntityMagicMissile           |   9 |
| Botania                          | botania:mana_burst                        | EntityManaBurst              |   0 |
| Botania                          | botania:mana_storm                        | EntityManaStorm              |  16 |
| Botania                          | botania:pink_wither                       | EntityPinkWither             |  14 |
| Botania                          | botania:pixie                             | EntityPixie                  |   2 |
| Botania                          | botania:player_mover                      | EntityPlayerMover            |  15 |
| Botania                          | botania:pool_minecart                     | EntityPoolMinecart           |  13 |
| Botania                          | botania:signal_flare                      | EntitySignalFlare            |   1 |
| Botania                          | botania:spark                             | EntitySpark                  |   7 |
| Botania                          | botania:thorn_chakram                     | EntityThornChakram           |  10 |
| Botania                          | botania:thrown_item                       | EntityThrownItem             |   8 |
| Botania                          | botania:vine_ball                         | EntityVineBall               |   4 |
| Dark Utilities                   | darkutils:fake_tnt                        | EntityFakeTNT                |   0 |
